1A27EB75 3E18362F 92C5110D 77827356 72B1D266 19FC27F6 A2312378 A2987F5B 
F86BCBE8 3D97FAFC 5F15FA26 67DD2AFD 15097797 3C094A11 C587020A 6F2203A3 
80A5494E BFA02683 EC21A184 CB8B9DED B0BFA63B 4B01B664 514B7C5D B8F1EA32 
14068349 56E831DD 1A42AC7F 22973CCD 35F1243A FB19808B CA0E3571 5E9CA3CE 
18A1807E 0F07C08C DF196577 52FB1865 3BAFFE18 7EC9BEEE 511D0BE5 4B327E33 
163E7ABD 2D1568E0 C49F94E1 0F887FEE 96EF0974 3173C948 E38012BF BE3EF261 
CCB1B749 B8E06D0E 97E95C37 758B1A48 3722D1B2 96A8486D 74913065 5BE3D434 
71DB4BBD 9FE485FC 2799ACCC 5ACB5680 04978F53 4A73586B FBAA164F 575900C2 
E28B8175 3B496EA4 F55778BE 189F9562 240933A5 171CAD88 52DAEAF3 10201703 
25222206 F5072821 CCB64CEA 4E3C5C15 C68CFDFE 5BBBC642 66422402 262222F7 
E6F771FD E97E1374 65122656 3A47522C E8001734 7F33CCB1 58A97141 3F546B0E 
B51D049B 67E822AB 0C11AF43 FA3ACC16 22A52684 1ED74E6D 7FD010F8 93C8410D 
9852A011 B339DAF1 5A8E561C 07C55BF0 E760A576 16CDCDCE 77BFAAD1 A6973455 
717A7C7A D64D7B3A ECB09655 B7FD8026 B84CAEEC E26ECD61 88E3CCA0 C747C557 
1823C137 571FCED9 B3FC35EE AA28303C 37E219E2 D3A366B0 001DEF81 EDC11F6F 
311F74D6 93FF3464 8870D05C D1C11340 C8F0F0A9 2A8BB4EA 36BB9B85 66884C42 
