FFAC20E0 0F996723 7D27770B 21BCF08A F6791DB8 ACA06BBC 4E56957E FE6C45C0 
5D690847 8F20B855 556B1D38 1BF252FA AFC796FF 4A4E394D DEB80CB6 FFED93EA 
94FF792A BE32DDE4 B8EA8F33 B9764105 6317C6BB F8579B61 0E3FE743 1185B22F 
AB5B54CF 4A76D10F 741978DE AB60D372 C8C63BE4 784783E6 77B6434A 3F9CC33B 
090BEF24 67718CB2 7D0C12BF BF0BDA73 A8C2814F 9DE9D61D 956AA2E6 E1A7359B 
FCCF7DE6 ADBED62C A7FE7828 A04071BD 0DF78613 B493A8FE 14589CBC 6B8BE8F6 
9BC42C48 0BCA7EEA CE0E002E ED5C3368 4B02465D E13BED40 BABEA315 B1EA29FA 
BD421DA9 06C9C250 5C7EF73C 8BCC9F5D 6E60A064 28BB3ADE D7E68B34 E4B319B7 
B33986E5 0686FFC6 9DDDC08B 808DBF8B 373E5C57 1FB166A7 8B426220 393D5F66 
04CE254D DD39B75B C0FA221B D3741FA5 BBD8BE1A BC674249 383D4DFA 0262C7F8 
A42EA6FB 083FDD7E 61C115BB 5B6BE143 85F13A9F 617D4542 8EECA251 427495A6 
B0D23317 D6C6CB5B 35B6199F F3F523A3 D846855A D938C850 0DFD1DF4 4C1F4110 
CB3C8361 9AD63CAA 2A1DB440 3C8389C8 FE14087E 2552ACBE 7CE6737E 21FE2570 
278CADA4 5C6656EB ECEC9D2F BB52A7FD AE259413 5FDFA9D5 0BBA9ABC EACD3F90 
7D89DA5A 7F477B9F 066FAF1C 4E91D123 3698B077 7D85C31C 6845FC58 E03EED0F 
C95FF2F5 2656E3BE A4A85540 AF63CD29 86510F88 30C9242B 486323F5 E62616A3 
