//used for generating opcodes info
//
//basic line layout is:
//<opname> <opnum> [args [flow]]
//where args is a string identifying what immediately follows the
//opcode. this is one of:
//	I, literal index
//	J, lexical variable index
//	A, relative address
//	N, numeric index (stack items, ...)
//	M, signed numeric index
//	S, symbolic index (special case of I)
//	T, string index (special case of I)
//	C, 8 bit signed byte
//	B, 8 bit unsigned byte
//	K, 16 bit signed short
//	W, 16 bit unsigned short
//	H, 16 bit fixed-point value (100 based)
//	G, 16 bit fixed-point value (10000 based)
//	D, Float (SVLI Pair, base, exp)
//	L, 32-bit integer
//	U, UVLI
//	V, SVLI
//	...
//
//flow:	in*=out*
//	vv=v	Consumes 2 values and outputs a value
//	!, non-local control flow (ends trace)
//		(may call/jump, likely to throw, may block)
//	@, start of trace.
//	?, may potentially throw exception.
//
//flow types:
//	v, generic variant value;
//	i, generic fixnum;
//	f, generic flonum;
//	b, bool (variant).
//	I, int
//	L/J, long
//	F, float
//	D, double
//flow special values:
//	w/x/y/z, named variant;
//	j/k/l, named fixnum;
//	g/h, named flonum.
//
//if args is absent, it is assumed that the opcode is coded by itself.


//0-15 base ops
NOP					0 -	=		//do nothing
BLOCK				1 -	=!		//blocks if limit!=0
DBGMARK				2 TN	=	//sets the filename and line number
CGENAST				3 I	-!		//syntax to be passed to code generator
FN					4 T =		//filename
LN					5 N =		//line number
LABEL				6 S =@		//label

//16-31, variable ops
PUSH				16 I =v		//push item on the stack
POP					17 - v=		//pop item from the stack
LOAD				18 S =v?	//load item from variable onto stack
STORE				19 S v=		//store item on stack into variable
BIND				20 S v=		//bind item on stack to new variable
DYNBIND				21 S v=		//dynamically bind an item on the stack
LEXBIND				22 S v=		//lexically bind an item on the stack
LOADINDEX			23 - vv=v?	//load from object index (arr, idx)
STOREINDEX			24 - vvv=?	//store into object index (val, arr, idx)
PUSH_SELF			25 - =v		//push 'self' onto stack
CLEARENV			26 - =		//clear lexical bindings to mark
// BINDPATTERN			27 - vv=	//bind vars to a pattern
TRYCAST_S			27 S v=v	//cast to a specific type (null on fail)

PF_HINT_PTR			28 - =		//pointer (generic)
PF_HINT_S			29 S =		//type-hint about following opcode (sig)
TRYLOAD				30 S =v		//try to load an item
CAST_S				31 S v=v?	//cast to a specific type

//32-47 block ops
MARK				32 - =M		//mark the current stack location
CALL				33 - M*v=v!	//call a given function
TAILCALL			34 - M*v=!	//tail call a given function
CALL_S				35 S M*=v!	//call a given function (named)
TAILCALL_S			36 S M*=!	//tail call a given function (named)
METHODCALL			37 - M*vv=v!	//call a given method
METHODTAILCALL		38 - M*vv=!	//tail-call a given method
METHODCALL_S		39 S M*v=v!	//call a given method (named)
METHODTAILCALL_S	40 S M*v=!	//tail-call a given method (named)
RET					41 - v=!		//return from current function
TYMARK				42 S =M		//mark, but with a type-signature

// PUSHENV			42 - =		//push a new level of dynamic bindings
// POPENV			43 - =		//pop a level of dynamic bindings
// BEGINCC			44 A =v		//begin block with current continuation
// BEGINOBJ			45 A =		//begin a block with a new object
// FRAME			46 A =		//create a new frame
NEW_S				47 S M*=v?	//create new object instance

//48-63 stack ops
DUP					48 - x=xx	//dup items on stack
EXCH				49 - xy=yx	//swap items on stack
INDEX				50 N =v		//refer to an item on stack
RINDEX				51 N =v		//refer to an item relative to mark
SETINDEX			52 N v=		//set an item on the stack
SETRINDEX			53 N v=		//set an item on the stack (rel mark)
DUP_F				54 - x=xx	//dup items on stack (fast)

// DUP_R				55 B v=v	//copy an item on stack into a register
// DUP_RF				56 B v=v	//copy into a register (fast)
// PUSH_R				57 B =v		//push an item on the stack (reg)
// PUSH_RF				58 B =v		//push an item on the stack (reg, fast)
// POP_R				59 B v=		//pop an item from the stack (reg)

EXCH_SELF			60 - x=y	//swap 'self' with value on stack
PUSH_CTV			61 B =v		//push a special value
DELETE				62 - v=b	//delete an object, push a bool
CAST				63 - vv=v	//cast a value to a given type


//64-111 misc ops
UNARYOP				64 u v=v?	//unary operation
BINARYOP			65 b vv=v?	//binary operation
PUSH_NULL			66 - =v		//push a null
PUSH_TRUE			67 - =v		//push a true
PUSH_FALSE			68 - =v		//push a false
PUSH_SV				69 K =i		//push a small fixnum
PUSH_0				70 - =i		//push 0
PUSH_1				71 - =i		//push 1
PUSH_2				72 - =i		//push 2
PUSH_3				73 - =i		//push 3
PUSH_4				74 - =i		//push 4
PUSH_5				75 - =i		//push 5
PUSH_6				76 - =i		//push 6
PUSH_7				77 - =i		//push 7
PUSH_CF				78 - =v		//push current function
CALL_CF				79 - M*=v!	//call current function
TAILCALL_CF			80 - M*=!	//tailcall current function

CAR					81 - v=v	//head of a list
CDR					82 - v=v	//tail of a list
CAAR				83 - v=v	//list ops
CDAR				84 - v=v	//list ops
CADR				85 - v=v	//list ops
CDDR				86 - v=v	//list ops

PUSH_SV_P			87 B =i		//push a small fixnum (positive)
PUSH_SV_N			88 B =i		//push a small fixnum (negative)
PUSH_SV_F			89 H =f		//push a small flonum (fixed 100)

LLOAD				90 J =v		//load an item from the lexical env
LSTORE				91 J v=		//store an item to the lexical env
LLOAD_F				92 J =v		//load an item from the lexical env
LSTORE_F			93 J v=		//store an item to the lexical env
LPOSTINC			94 J =v		//post-increment lexical var
LPOSTDEC			95 J =v		//post-decrement lexical var
LINC				96 J =		//i+1 -> i
LDEC				97 J =		//i-1 -> i
LPREINC				98 J =v		//pre-increment lexical var
LPREDEC				99 J =v		//pre-decrement lexical var

LOADINDEX_S			100 S v=v?	//load an index from an object
STOREINDEX_S		101 S vv=?	//store into an object slot (val obj)
LOADINDEX_I			102 B v=v?	//load an index from an object
STOREINDEX_I		103 B vv=?	//store into an object index (val obj)
LOADINDEX_0			104 - v=v?	//load an index from an object
LOADINDEX_1			105 - v=v?	//load an index from an object
LOADINDEX_2			106 - v=v?	//load an index from an object
LOADINDEX_3			107 - v=v?	//load an index from an object
STOREINDEX_0		108 - vv=?	//store into an object index (val obj)
STOREINDEX_1		109 - vv=?	//store into an object index (val obj)
STOREINDEX_2		110 - vv=?	//store into an object index (val obj)
STOREINDEX_3		111 - vv=?	//store into an object index (val obj)

//112-127 control flow ops
THROW_S				112 S =!	//throw exception (simple name)
BEGIN_TRY			113 - =		//begins the body of a try block
END_TRY				114 - =		//ends the body of a try block
CATCH				115 SA =	//add exception handler
THROW_OBJ			116 - v=!	//throw exception object

PF_WIDE				117 - =		//Wide Prefix

JMP					118 A =!	//jump to rel offset
JMP_TRUE			119 A v=!	//jump to rel offset if true
JMP_FALSE			120 A v=!	//jump to rel offset if false
JMP_COND_U			121 uA v=!	//jump to rel offset (unary condition)
JMP_COND_B			122 bA vv=!	//jump to rel offset (binary condition)

BEGIN_CATCH			123 S =v@	//begins the body of a catch block
END_CATCH			124 - =		//ends the body of a catch block
BEGIN_CATCH_FINAL	125 - =@	//begins the body of a finally block
// JMP_COND_SWEQ	126 IA v=v	//jump to rel offset (switch-equal)

//128-143 data ops
ARRAY				128 - M*=v	//new array from values
DICT				129 - M*=v	//new dict from values
ATTR				130 - xy=v	//new attribute from name and value (name=y)
OBJECT				131 - M*=v	//new empty object
VECTOR				132 - M*=v	//new vector from values
TERMINAL			133 - -		//new terminal from value
COMPLEX				134 - ff=v	//new complex from values
MATRIX				135 - M*=v	//new matrix from values
LIST				136 - M*=v	//new list from values
COMPLEX_I			137 - f=v	//new imaginary number from flonum
CLOSE				138 - v=v	//close over a block making a lambda
CLOSE2				139 - v=v	//close, but have it bound in self (?)
FLINK				140 - vv=v	//link functions together
CONS				141 - vv=v	//new cons cell
QUAT				142 - ffff=v	//construct a quaternion (WXYZ)
ENVCLOSE			143 - M*v=v	//close over block using supplied bindings


//144..191 special ops

NEG					144 - v=w	//negate
LNOT				145 - v=w	//logical not
DEFER				146 - v=w?	//deference / unary-multiply
PUSH_SV_C			147 W =v	//push a character codepoint
ARRAY_S				148 S M*=v	//new array from values (typed)
CLONE				149 - v=w?	//clone an object
TOSTRING			150 - v=w?	//convert object to a string
TYBIND				151 SSS v=	//bind new variable (name, sig, flags)
TYDYNBIND			152 SSS v=	//dynamically bind item on the stack
TYLEXBIND			153 SSS v=	//lexically bind item on the stack
IMPORT				154 SS =	//begin package (name, flags)
LOADA_S				155 S =p?	//push pointer to a variable
LOADINDEXA			156 - vv=v?	//load address of array index
CLASS_IFACE			157 SS =	//implement interface (name, flags)
INSTANCEOF_S		158 S v=b	//check if value is of a given type

ADD					159 - vv=v	//add operator
SUB					160 - vv=v	//sub operator
MUL					161 - vv=v	//mul operator
DIV					162 - vv=v	//div operator
MOD					163 - vv=v	//mod operator
AND					164 - vv=v	//and operator
OR					165 - vv=v	//or operator
XOR					166 - vv=v	//xor operator

POSTINC_S			167 S =v?	//post-increment variable
POSTDEC_S			168 S =v?	//post-decrement variable
PREINC_S			169 S =v?	//pre-increment variable
PREDEC_S			170 S =v?	//pre-decrement variable
INC_S				171 S =?	//increment variable
DEC_S				172 S =?	//decrement variable

SETDEFER			173 - vw=?	//set deference (val ref)
NOT					174 - v=w	//not
INC					175 - v=w	//increment
DEC					176 - v=w	//decrement
PUSH_SV_FB			177 G =f	//push a small flonum (fixed 10000)
ROLL_I				178 NM =	//rotate stack elements by a count
COPY_I				179 N =		//duplicate the N top stack elements

PF_HINT_XI			180 - =		//type-hint for integer
PF_HINT_XL			181 - =		//type-hint for long
PF_HINT_XF			182 - =		//type-hint for float
PF_HINT_XD			183 - =		//type-hint for double

PUSH_XI				184 V =I	//push a literal integer
PUSH_XL				185 V =J	//push a literal long
SHL					186 - xy=z	//shift left
SHR					187 - xy=z	//shift right
INC2				188 - v=w	//increment
DEC2				189 - v=w	//decrement

//192..255: reserved for 2 byte opcodes 256..16383
//2 byte opcodes 0..255 are reserved

//192..255 may not be assigned any opcodes

//256..16384
//2-byte opcodes range
//opcodes here are theoretically of lower frequency than those in
//the 0..191 range.

JMP_L_FN		256 A ii=!	//i<j
JMP_G_FN		257 A ii=!	//i>j
JMP_LE_FN		258 A ii=!	//i<=j
JMP_GE_FN		259 A ii=!	//i>=j
