Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.14      0.18     0.18        2    90.00    90.00  sxil_init_heap
 10.48      0.29     0.11     3967     0.03     0.03  SXIL_ParseBlock
  7.62      0.37     0.08     4524     0.02     0.02  BASM_FetchSymIndex
  5.71      0.43     0.06  5232238     0.00     0.00  BCCX_Get
  4.76      0.48     0.05   567513     0.00     0.00  BGBCP_Token
  4.76      0.53     0.05     8681     0.01     0.01  basm_strdup
  3.81      0.57     0.04  2813012     0.00     0.00  BCCX_AttrIsP
  2.86      0.60     0.03  5232238     0.00     0.00  BCCX_LookupAttr
  2.86      0.63     0.03  2428673     0.00     0.00  BGBCP_PeekChar
  2.86      0.66     0.03   498637     0.00     0.00  bgbcc_strdup
  2.86      0.69     0.03    24919     0.00     0.01  BGBCC_VarTypeString
  2.86      0.72     0.03     4524     0.01     0.01  BASM_FetchSymIndex2
  2.86      0.75     0.03        4     7.50    20.52  SXIL_Init
  2.86      0.78     0.03                             SXIL_AbortModule
  2.86      0.81     0.03                             strcmp
  1.90      0.83     0.02  2428673     0.00     0.00  BGBCP_NameInitChar
  1.90      0.85     0.02        2    10.00    10.00  BCCX_PrintBuf
  1.90      0.87     0.02        1    20.00    27.79  SXIL_Float128_Init
  0.95      0.88     0.01  4998436     0.00     0.00  BCCX_Next
  0.95      0.89     0.01  1603760     0.00     0.00  BGBCP_EmitChar
  0.95      0.90     0.01   785626     0.00     0.00  basm_stricmp
  0.95      0.91     0.01   216206     0.00     0.00  BCCX_FetchAttr
  0.95      0.92     0.01    60551     0.00     0.00  BGBPP_PrintName
  0.95      0.93     0.01    36486     0.00     0.00  BASM_Parse_Token
  0.95      0.94     0.01    32327     0.00     0.00  BGBPP_LookupDefine
  0.95      0.95     0.01    28696     0.00     0.00  sxil_strdup_i
  0.95      0.96     0.01    27900     0.00     0.00  BGBPP_ParseLine
  0.95      0.97     0.01    27242     0.00     0.00  BGBCP_VarDefinition
  0.95      0.98     0.01    22314     0.00     0.00  BGBCP_LookupType
  0.95      0.99     0.01    20917     0.00     0.00  BGBPP_Trigraphs
