BABBBA3A 0F57A107 BAE59E4F AADC3B32 384B73E4 277921BB D1A3468D FDFD3395 
51C023F1 59AFB35C 721104AD 55AE6408 5ED14D0D BECA1056 E280A2B1 5D2886DC 
117DF14E EAED085C 447999DF 96BF7035 9AFDCD54 B87682A0 B3AF02D2 7B91CD2B 
8FA078BF 0E582FF3 58C8CB79 97B6455C 61AF04D7 4B960E96 A0CC8052 14578176 
5056D094 1B7F32A6 963287CD BAD84842 5596B141 AD6D9551 6BE6F41C A1950243 
8A891FCC 01C49B2C 80A7854B FB7B7848 BC0CB98D B4CF6CEE D4C75CBB E50D9AA9 
2EDD91D5 D2DA71D2 1706629A 093B51EB C7724BC7 9C1584EB 5FA963CA C8DD4D73 
887C8365 841A4D5A 8FCF8A61 1D38A750 F0FEC7A6 A8B957CD 74F1325D 583C1335 
E7B0E646 52E901BC 2615AC06 70C199E9 FE926401 796DC4C4 A756D6DC 08C692AC 
0F0A1482 32EB959F 99D27F35 7BE183C9 41931448 3CAB5C53 CE493A8C 244253B4 
33D176E6 6DA14E51 E1DDFF8E C38D27E7 B2A1DB33 63B7B971 E1ADBC86 8358D856 
2621B148 75501D77 3DC67944 DAA3C371 F3D8CD84 83D0AAEA F1B0FB4D D1EE68DF 
1BE7569B B40DDFBB 52EC7BF3 A018A202 40918834 BFAE2BBC F087E3F5 CC00399A 
4597A6ED 930B3B09 9D61B20D 7954E3C8 C7CFEE58 39299041 36D2C376 8D1D698F 
24D62BC2 03366AD1 3AA1ECEF 7D727E71 24BC43CE 1CC675EB C64B0240 63DB6AA7 
90CCA32F 27321468 C87957C7 98AB5DBA 6BB0F42B A4CE7C3F D4272507 B6BCD1DF 
